"2023-07-15","Lab_CHN_02","ICSI_01","ICSI_Workstation","10.00","8.16","0.82","1.84","0.00","0.00","0","0.00","IVF","TRUE","4"
"2023-07-27","Lab_CHN_01","INC_A1","incubator","18.00","15.60","0.87","2.40","0.00","0.00","0","0.00","Embryo_Assessment","FALSE","10"
"2023-10-24","Lab_CHN_01","ICSI_01","ICSI_Workstation","18.00","15.67","0.87","2.33","0.00","0.00","0","0.00","IVF","FALSE","2"
"2024-02-21","Lab_CHN_01","INC_A2","incubator","18.00","6.56","0.36","10.04","0.00","1.40","1","119.80","ICSI","TRUE","15"
"2023-02-24","Lab_CHN_01","INC_B1","incubator","18.00","15.01","0.83","2.99","0.00","0.00","0","0.00","Embryo_Assessment","TRUE","9"
"2024-05-10","Lab_CHN_01","MIC_X1","Microscope","18.00","7.49","0.42","10.51","0.00","0.00","0","0.00","Fertilization_Check","TRUE","18"
"2024-08-31","Lab_CHN_02","ICSI_01","ICSI_Workstation","10.00","5.98","0.60","4.02","0.00","0.00","0","0.00","IVF","TRUE","3"
"2024-08-07","Lab_CHN_02","ICSI_02","ICSI_Workstation","18.00","11.97","0.66","6.03","0.00","0.00","0","0.00","Fertilization_Check","TRUE","11"
"2024-08-04","Lab_CHN_02","INC_B1","incubator","10.00","8.63","0.86","1.37","0.00","0.00","3","114.90","IVF","TRUE","3"
"2024-06-12","Lab_CHN_02","MIC_X2","Microscope","18.00","14.10","0.78","3.90","0.00","0.00","0","0.00","IVF","TRUE","10"
"2023-04-21","Lab_CHN_01","ICSI_01","ICSI_Workstation","18.00","11.55","0.64","6.45","0.00","0.00","1","72.80","IVF","FALSE","12"
"2023-03-29","Lab_CHN_01","MIC_X1","Microscope","18.00","7.42","0.41","10.58","0.00","0.00","0","0.00","Embryo_Assessment","TRUE","15"
"2024-01-21","Lab_CHN_01","INC_A2","incubator","10.00","7.18","0.72","2.82","0.00","0.00","0","0.00","IVF","TRUE","6"
"2023-06-19","Lab_CHN_02","INC_A2","incubator","18.00","8.97","0.50","9.03","0.00","0.00","0","0.00","Embryo_Assessment","TRUE","11"
"2023-04-13","Lab_CHN_01","ICSI_02","ICSI_Workstation","18.00","11.05","0.61","6.95","0.00","0.00","0","0.00","Embryo_Assessment","TRUE","14"
"2023-06-12","Lab_CHN_01","ICSI_02","ICSI_Workstation","18.00","15.03","0.84","2.97","0.00","0.00","0","0.00","Fertilization_Check","TRUE","15"
"2024-06-06","Lab_CHN_01","INC_A2","incubator","18.00","9.38","0.52","8.62","0.00","0.00","0","0.00","Embryo_Assessment","TRUE","6"
"2024-04-02","Lab_CHN_02","ICSI_01","ICSI_Workstation","18.00","17.10","0.95","0.90","0.00","0.00","0","0.00","Embryo_Assessment","TRUE","5"
"2024-07-04","Lab_CHN_02","MIC_X1","Microscope","18.00","11.13","0.62","6.87","0.00","0.00","0","0.00","IVF","TRUE","13"
"2024-09-01","Lab_CHN_01","ICSI_02","ICSI_Workstation","10.00","3.38","0.34","6.62","0.00","0.00","0","0.00","IVF","TRUE","5"
